,search_term,cnt
330,microwave,8564
331,peugeot,8539
332,toyota bakkie,8516
333,lexus v8,8510
334,conqueror,8481
335,harley davidson,8475
336,mitsubishi colt,8467
337,rabbit,8407
338,mazda3,8398
339,yamaha r6,8381
340,kimberley,8365
341,vw microbus,8364
342,used,8354
343,golf 4 gti,8325
344,keyboard,8313
345,vanderbijlpark,8295
346,massage,8289
347,citi,8238
348,johannesburg,8215
349,jetski,8203
350,tents,8202
351,audi a5,8156
352,newcastle,8135
353,bar fridge,8134
354,secunda,8120
355,jurgens,8119
356,kia rio,8045
357,phone,8043
358,e46,8041
359,spark,8021
360,gwm,8017
361,hips,7928
362,toyota siyaya,7904
363,golf clubs,7894
364,freezer,7853
365,scirocco,7837
366,samsung s6,7831
367,lawnmower,7826
368,cheap,7809
369,diepkloof,7773
370,camry,7725
371,vw golf 1 for sale,7706
372,psp,7704
373,7 seater,7672
374,jetta 2,7647
375,kitchen cupboards,7643
376,fish,7614
377,kitten,7600
378,bmw 330i,7552
379,amp,7536
380,canopies,7535
381,mustang,7523
382,lexus,7523
383,scooters,7500
384,piano,7479
385,e36,7464
386,projector,7424
387,taxi,7418
388,toyota corolla twincam,7406
389,meyerton,7401
390,fleurhof,7385
391,bmw x3,7373
392,playstation 4,7358
393,middelburg,7354
394,nikon,7339
395,vivo,7338
396,iveco,7326
397,chevrolet,7304
398,mixer,7282
399,toyota twincam,7258
400,opel corsa bakkie,7243
401,vosloorus,7219
402,sound,7213
403,i20,7213
404,cows,7211
405,gym,7200
406,bulldog,7200
407,ducati,7200
408,chevrolet utility,7190
409,golf vr6,7187
410,tow truck,7174
411,canon,7163
412,vereeniging,7116
413,kawasaki,7080
414,figo,7071
415,fish tank,7071
416,golf 2,7061
417,325is bmw,7044
418,gusheshe,7037
419,golf 7 r,7033
420,pigs,7022
421,umlazi,7018
422,bmw 135i,6985
423,honda cbr,6974
424,opel corsa lite,6962
425,kayak,6949
426,potchefstroom,6924
427,lawnmowers,6924
428,335i,6922
429,kitchen,6912
430,double,6905
431,table,6889
432,limpopo,6887
433,bmw m5,6877
434,camera,6844
435,vw kombi,6822
436,driver,6822
437,apple watch,6806
438,house to rent,6804
439,radio,6798
440,toyota condor,6792
441,midrand,6786
442,horses,6753
443,eastern cape,6713
444,coffee table,6698
445,rent,6680
446,toyota runx rsi,6676
447,rooms to rent,6676
448,picanto,6667
449,dining room,6665
450,x5,6658
451,ford courier,6649
452,hyundai i20,6634
453,bmw 335i,6632
454,iphone 6s plus,6632
455,chicken,6628
456,chest of drawers,6626
457,np200,6600
458,ballade,6597
459,triton,6597
460,ipad,6593
461,vehicles,6586
462,bmw 320d,6579
463,houses,6576
464,ford capri,6573
465,ford st,6550
466,mazda bt50,6545
467,to swop,6544
468,vw golf 4,6543
469,audi tt,6532
470,golf 7,6528
471,honda vtec,6516
472,smart watch,6513
473,salon,6503
474,golf cart,6492
475,quad bike,6490
476,chana,6472
477,f250,6465
478,benz,6460
479,hyundai getz,6453
480,renault clio,6393
481,calves,6379
482,ps4 games,6373
483,auris,6366
484,golf3,6358
485,kia picanto,6358
486,corsa utility bakkie on sale,6356
487,courier,6351
488,chairs,6350
489,samsung s7,6343
490,toyota camry,6318
491,mazda bakkie,6317
492,vespa,6299
493,atos,6284
494,helmet,6276
495,sewing,6268
496,bicycles,6267
497,pugs,6240
498,isuzu bakkie,6237
499,nissan 1 tonner,6231
500,mk1,6227
501,centurion,6212
502,plasma,6207
503,benoni,6206
504,amg,6198
505,shoes,6191
506,discovery,6175
507,wendy,6155
508,jetta 3 sale,6140
509,aircon,6119
510,mpumalanga,6118
511,ford sierra,6115
512,325i,6110
513,greyhound,6101
514,diesel,6069
515,bbs rims,6069
516,bmw 325is,6057
517,toyota rxi,6055
518,focus,6023
519,camping tents,6017
520,polo 6 on sale,5987
521,iphone 6 plus,5980
522,cell phones,5961
523,quad bikes,5951
524,freightliner,5945
525,nissan skyline,5941
526,gun,5927
527,venter,5927
528,opc,5916
529,bellville,5896
530,springs,5876
531,room to rent,5875
532,cruiser,5873
533,supra,5866
534,clio,5864
535,pomeranian,5859
536,car radio,5859
537,brakpan,5853
538,volkswagen polo tsi,5843
539,convertible,5835
540,touran,5825
541,apple,5799
542,body,5795
543,focus st,5785
544,boots,5772
545,gates,5766
546,banshee,5763
547,protea,5757
548,richards bay,5754
549,s3,5752
550,opel corsa opc,5747
551,gopro,5743
552,baby,5732
553,golf r,5724
554,labrador,5724
555,crane,5723
556,isuzu double cab,5713
557,golf velocity,5698
558,pioneer,5685
559,nike,5679
560,audi a6,5675
561,e30 325i,5667
562,clan,5661
563,weights,5657
564,apple iphone,5655
565,kensington,5650
566,honda accord,5637
567,toyota hiace,5634
568,livestock,5629
569,parow,5620
570,coricraft,5618
571,subwoofer,5615
572,1400,5613
573,cricket,5611
574,bigboy,5608
575,h100,5604
576,lounge,5603
577,gaming pc,5598
578,desk,5576
579,bmw 3 series,5576
580,amanzimtoti,5565
581,vw jetta,5559
582,international,5557
583,dogs german shepherd,5553
584,free state,5552
585,sasolburg,5548
586,almera,5538
587,sewing machine,5535
588,bmw 325,5529
589,wrangler,5523
590,toyota corrola,5515
591,ktm 300,5501
592,land rover defender,5501
593,garmin,5497
594,gas stove,5497
595,graphics card,5492
596,jaguar,5475
597,headboard,5470
598,bmx,5467
599,merc,5459
600,civic,5458
601,computer,5448
602,cellphones,5444
603,c63,5444
604,forklift,5429
605,pietermaritzburg,5423
606,non runners,5417
607,kathu,5416
608,blackberry,5409
609,hatfield,5405
610,jetta 5,5400
611,brick,5376
612,bluff,5375
613,hifi,5347
614,motorbike,5325
615,taylormade,5306
616,welding,5296
617,playstation,5281
618,320d,5278
619,tiles,5269
620,ford laser,5265
621,ladysmith,5253
622,sunroof,5248
623,iphone 7 plus,5244
624,maltese,5242
625,fourways,5241
626,toyota dyna,5218
627,lego,5208
628,camper,5204
629,scania,5198
630,accident,5193
631,soweto,5172
632,ford f100,5168
633,toyota rsi,5150
634,krugersdorp,5128
635,soccer boots,5127
636,samsung s5,5124
637,palio,5121
638,big boy,5115
639,mitsubishi,5115
640,watches,5101
641,goodwood,5097
642,pellet,5052
643,carpet,5025
644,caddy bakkie,5023
645,325is,5017
646,wanted,5017
647,bricks,5001
648,kittens,4993
649,breakdown,4985
650,centurion rooms for rent,4982
651,city golf,4982
652,vw caravelle,4981
653,kadett,4979
654,gazebo,4967
655,boksburg,4958
656,rc,4946
657,toilet,4933
658,tablet,4930
659,mazda sting,4919
660,tv plasma,4913
661,polo gti sale,4906
662,pets,4900
663,lounge suite,4899
664,jetta 5 sale,4896
665,upington,4893
666,toyota hilux hips,4890
667,toyota land cruiser,4888
668,landini,4871
669,sting,4866
670,motherboard,4853
671,nissan bakkie,4833
672,1 series,4823
673,jacuzzi,4818
674,polo 1.9tdi,4803
675,wardrobe,4802
676,hilux single cab,4802
677,airsoft,4801
678,verso,4800
679,ipod,4795
680,etios,4794
681,printer,4792
682,horse,4787
683,ford f250,4785
684,125,4781
685,toyota supra,4775
686,rolex,4773
687,cbr,4749
688,yeezy,4744
689,honda jazz,4734
690,vw golf 6 r,4718
691,gearbox,4704
692,motorcycle,4691
693,bass,4680
694,sofa,4667
695,chair,4666
696,bmw z4,4659
697,alfa romeo,4657
698,eggs,4644
699,harley,4637
700,freelander,4634
701,samsung j7,4614
702,dachshund,4611
703,nelspruit,4605
704,bmw 320i,4604
705,mazda etude,4599
706,toyota verso,4598
707,captiva,4581
708,tyre,4575
709,home theatre,4571
710,welder,4561
711,doors,4555
712,samsung a5,4550
713,inyathi,4545
714,nissan patrol,4537
715,pistol,4525
716,hayabusa,4518
717,chainsaw,4516
718,chihuahua,4515
719,viano,4514
720,2jz,4510
721,leather,4494
722,ferrari,4487
723,xtrail,4478
724,aveo,4474
725,cage,4473
726,haroon,4469
727,drums,4463
728,trampoline,4453
729,siberian husky,4427
730,bmw f30,4425
731,flats,4424
732,dishwasher,4420
733,dstv,4419
734,dogs jack russell,4416
735,citroen,4415
736,runx rsi,4413
737,i7,4408
738,cell phone,4401
739,samsung j5,4391
740,tiguan,4363
741,polo with sunroof,4359
742,flats to rent,4355
743,wardrobes,4354
744,accident damaged,4348
745,sprite,4335
746,tanks,4335
747,wendy house,4328
748,toyota prado,4328
749,kids,4324
750,hyundai accent,4324
751,vw golf 1,4322
752,r25000,4312
753,samsung s4,4308
754,passat,4306
755,a3,4286
756,vw fox,4282
757,food trailer,4277
758,property,4277
759,mazda 2,4273
760,kia sportage,4259
761,reels,4255
762,printers,4246
763,excavator,4243
764,koop,4238
765,run x,4234
766,puppies for sale,4229
767,renault megane,4226
768,rc cars,4218
769,berea,4215
770,dodge,4207
771,opel opc,4203
772,classic,4202
773,ebony,4201
774,led tv,4200
775,toyota legend 45,4192
776,sierra,4191
777,sleeper couch,4190
778,fiat palio,4187
779,monitor,4184
780,garage door,4183
781,solar,4164
782,paving,4158
783,ermelo,4156
784,ktm 250,4154
785,bbs,4152
786,weber,4149
787,carvela,4130
788,alberton,4130
789,wood,4128
790,adidas,4127
791,nokia,4127
792,volkswagen golf,4126
793,willys,4106
794,volvo s40,4104
795,ford mustang,4100
796,cat,4099
797,coins,4096
798,embroidery,4095
799,thule,4076
800,contract,4071
801,drum,4061
802,primrose,4059
803,hyundai elantra,4058
804,classic mini,4058
805,yorkie,4057
806,bargain,4056
807,motor,4052
808,flat,4045
809,toys,4044
810,puppy,4043
811,brits,4035
812,fitbit,4032
813,qashqai,4025
814,rosebank,4023
815,pimville,4012
816,baler,4009
817,rotary,4004
818,pc,4003
819,sex,4002
820,ice cream machine,3997
821,250,3994
822,cruze,3986
823,antique,3986
824,cctv,3982
825,bmw 320,3974
826,vw velocity,3965
827,mini cooper s,3964
828,bmw x6,3955
829,oven,3955
830,kart,3951
831,polo gt,3950
832,container,3947
833,huawei p9,3947
834,pigeons,3940
835,ferguson,3939
836,yz,3937
837,vw citi golf,3935
838,golf1,3931
839,chev,3929
840,lg,3921
841,ford sapphire,3921
842,randfontein,3914
843,used cars,3910
844,tdi,3897
845,mazda mps,3897
846,bmw 325i for sale,3896
847,bmw 330d,3896
848,husky,3895
849,audi rs4,3891
850,capetown,3891
851,jetta vr6 sale,3889
852,isuzu kb280,3887
853,bramley,3885
854,playstation 2,3873
855,printing,3865
856,used toyota condor,3857
857,bait boat,3855
858,newlands,3851
859,trekker,3847
860,citigolf,3837
861,transporter,3836
862,e90,3834
863,toyota etios,3834
864,toyota cressida,3827
865,lawn mower,3822
866,ormonde,3821
867,husqvarna,3821
868,samsung galaxy note,3819
869,mazda mx6,3817
870,toyota auris,3812
871,camping trailer,3810
872,honda s2000,3810
873,farm,3808
874,ford ka,3795
875,bar,3793
876,trike,3792
877,bethlehem,3789
878,vw vr6,3788
879,ford v8,3784
880,dobsonville,3784
881,rav 4,3781
882,golf5,3779
883,opel monza,3774
884,i10,3771
885,exhaust,3767
886,raptor,3762
887,ferndale,3755
888,golf 6 r,3750
889,targa,3750
890,router,3748
891,seater,3747
892,sportage,3747
893,bow,3746
894,rims and tyres,3735
895,blaster,3734
896,hybrid,3721
897,nissan sti,3717
898,suzuki gsxr,3713
899,ice machine for sale,3710
900,hilux 4x4,3700
901,go kart,3697
902,vr6 golf 3,3695
903,elcamino,3690
904,morningside,3689
905,honda xr,3687
906,ford ikon,3677
907,plasma tv,3674
908,fox,3673
909,megane,3668
910,montana,3667
911,impreza,3665
912,chest freezer,3656
913,golf 6 tsi,3654
914,pit bike,3650
915,s7,3647
916,beagle,3646
917,macbook pro,3645
918,heidelberg,3641
919,pitbike,3636
920,tucson,3635
921,s6,3634
922,kroonstad,3633
923,used polo vivo,3619
924,honda crv,3619
925,opel corsa engine,3614
926,volkswagen r32,3613
927,job,3609
928,empangeni,3605
929,aluminium,3603
930,clothes,3601
931,echo,3587
932,kempton park,3586
933,outboards,3584
934,daveyton,3584
935,delft,3578
936,air rifle,3578
937,fiesta st,3576
938,surfboard,3575
939,pots,3568
940,canoe,3563
941,jbl,3558
942,vw polo vivo,3553
943,gym equipment,3552
944,bmw x1,3547
945,hyundai h1,3544
946,doberman,3540
947,bmw r1200,3538
948,hoverboard,3538
949,mazda 626,3526
950,scrambler,3525
951,ride,3523
952,boxer,3522
953,kraaifontein,3521
954,corolla professional,3519
955,shell,3518
956,golden retriever,3516
957,valiant,3516
958,imac,3513
959,parktown,3513
960,cobra,3512
961,vvl,3512
962,pekingese,3511
963,clayville,3508
964,dressing table,3506
965,honda type r,3505
966,adult,3499
967,planer,3497
968,cross polo,3486
969,laser,3483
970,owner,3480
971,jungle gym,3479
972,willys jeep,3476
973,polo 1.9 tdi,3470
974,samsung s7 edge,3467
975,ford bantam bakkie,3465
976,houses to rent,3464
977,cdj,3461
978,r40000,3459
979,cheap cars,3450
980,gucci,3446
981,jetta 4 for sale,3445
982,balers,3443
983,case,3440
984,bmw convertible,3436
985,stokke,3435
986,venter trailer,3428
987,chevrolet cruze,3425
988,flat to rent,3417
989,ranchero,3416
990,bass guitar,3414
991,kuruman,3412
992,mercedes c63 amg,3410
993,auckland,3410
994,audi q7,3402
995,gaming,3402
996,television,3397
997,dji,3396
998,jet ski,3395
999,montclair,3394
1000,hyundai i10,3389
1001,alexandra,3387
1002,bmw for sale x5,3385
1003,racing,3384
1004,umhlanga,3381
1005,s4,3381
1006,bobcat,3381
1007,olx,3379
1008,nigel,3374
1009,pitbull,3370
1010,actros,3368
1011,uitenhage,3367
1012,ringneck,3365
1013,jimny,3359
1014,triumph,3351
1015,cottages for rent,3351
1016,smartwatch,3350
1017,cellphone,3344
1018,spares,3344
1019,ml,3343
1020,ps2,3342
1021,water pump,3340
1022,towbar,3336
1023,winch,3333
1024,rubberduck,3331
1025,h1,3325
1026,technics,3324
1027,bose,3319
1028,fencing,3316
1029,double bed,3316
1030,sub,3315
1031,table saw,3310
1032,furnished,3305
1033,drill,3304
1034,micra,3302
1035,motorcycles,3302
1036,jordan,3299
1037,d4d,3296
1038,teacup,3291
1039,heels,3291
1040,roland,3290
1041,mazda rx8,3288
1042,pathfinder,3280
1043,houses for sale,3280
1044,antiques,3279
1045,mazda rx7,3273
1046,st,3273
1047,isuzu kb250,3255
1048,hoverboards,3255
1049,house for sale,3250
1050,hyundai i20 for sale,3246
1051,golf citi,3246
1052,etude,3246
1053,gtx,3244
1054,toyota corolla gle for sale,3241
1055,plot,3239
1056,elantra,3239
1057,bike trailer,3239
1058,ps3 games,3232
1059,melville,3228
1060,minibus,3224
1061,sports fishing,3218
1062,roof rack,3214
1063,sti,3214
1064,volkswagen polo,3211
1065,gas braai,3211
1066,opel astra opc,3209
1067,new holland,3209
1068,paarl,3203
1069,bars,3202
1070,ltr 450,3200
1071,c200,3199
1072,guitars,3191
1073,audi s4,3190
1074,bmw s1000rr,3190
1075,abf,3182
1076,cart,3181
1077,toolbox,3181
1078,schnauzer,3180
1079,patrol,3178
1080,room,3178
1081,battery,3178
1082,cherokee,3175
1083,q7,3171
1084,yamaha blaster,3171
1085,toyota d4d,3170
1086,rings,3163
1087,boston,3153
1088,superboss,3152
1089,speaker,3151
1090,monza,3143
1091,mazda 6,3141
1092,toyota run x,3139
1093,scott,3135
1094,water,3130
1095,kia k2700 sale,3125
1096,studio,3123
1097,bmw m4,3123
1098,audi a1,3122
1099,bmw e36 sale,3118
1100,jeep cherokee,3116
1101,geyser,3113
1102,bmw m3 e46,3112
1103,vvti,3102
1104,drones,3099
1105,helmets,3098
1106,hisense,3097
